CCENTRO;DCENTRO;EMAIL;TELEFONO
50019809;CANTINELA;direccion@centroinfantilcantinela.es;976.228.891
50701104;CENTRO DE EVALUACIÓN FORMACIÓN Y CALIDAD;;
44010781;ARAMÓN JAVALAMBRE-VALDELINARES FORMACIÓN;;978.610.092
22010876;MARÍA MOLINER;cpfragaiii@educa.aragon.es;974.471.272
50019408;SEGEDA;ceecalatayud@educa.aragon.es;
50019861;KLASSKIDSS;;
50019500;EL PICARRAL;iespicarral@educa.aragon.es;976.741.112
44010719;BRONCHALES-ORIHUELA;craorihuela@educa.aragon.es;978.714.352
50017606;LA COMETA;info@ayto-utebo.es;976.462.836
44010124;LOS MONCHONES;ayuntamiento@valdealgorfa.com;978.857.000
44010136;DE CALANDA;ayuntamiento@calanda.es;978.886.154
22700081;SUBSEDE DE SABIÑÁNIGO EN JACA;eoepsabinanigo@educa.aragon.es;974.363.200
22700091;DE MONZÓN;eoepmonzon@educa.aragon.es;974.415.858
22700108;DE SABIÑÁNIGO;eoepsabinanigo@educa.aragon.es;974.482.139
22700111;SUBSEDE DE GRAUS EN BOLTAÑA;eoepboltanna@educa.aragon.es;974.502.417
50600786;EL PORTILLO;guarde.elportillo@gmail.com;976.432.944
50600798;EL PRINCIPITO;alberto-ester@terra.es;976.527.958
50600804;ESPAÑOL;info@guarderiainfantilespanol.es.com;976.492.095
50600816;PUZZLE;puzzle@escuelainfantilpuzzle.net;976.525.219
50600828;KIKO-KIKO;tere_biju@hotmail.com;976.231.069
50600831;LA COMETA;josemaitecasa@gmail.com;976.476.279
50600853;LOS ANDES 1;san.ber@hotmail.com;976.329.195
50600865;LOS ANDES 3;c.i.locar@hotmail.es;976.446.045
22010281;NININS;escuelainfantilninins@graus.es;974.546.518
50017758;PINOCHO;alcaldia@daroca.e.telefonica.net;976.800.396
50017655;EL POMILLO;cpainzon@educa.aragon.es;976.868.676
50017667;DIEGO ESCOLANO;cplongares@educa.aragon.es;976.142.418
50017679;PABLO LUNA;cpalhama@educa.aragon.es;976.840.024
50017680;RAMÓN Y CAJAL;cppina@educa.aragon.es;976.165.347
50017710;MONTECANAL;cpmontecanal@educa.aragon.es;976.756.925
50017618;ESCUELA MUNICIPAL DE MÚSICA;ayto.uncastillo@terra.es;976.679.001
44700013;ÁNGEL SANZ BRIZ-TERUEL (SUBSEDE ALCAÑÍZ);cpralcaniz@educa.aragon.es;978.832.803
44700025;ÁNGEL SANZ BRIZ;cifeteruel@educa.aragon.es;978.618.460
44700037;DE UTRILLAS;cprutrillas@educa.aragon.es;978.758.062
44700049;DE ALCAÑÍZ;eoepalcaniz@educa.aragon.es;978.832.881
50009671;ESCUELA UNIVERSITARIA POLITÉCNICA;admingta@unizar.es;976.600.813
50008800;ESCUELA UNIVERSITARIA DE ESTUDIOS EMPRES;admeueez@unizar.es;976.762.700
50008812;ESCUELA UNIVERSITARIA DE INGENIERÍA TÉCN;admingtz@unizar.es;976.762.188
50008824;FACULTAD DE EDUCACIÓN;admeducz@unizar.es;976.761.301
50008836;CENTRO POLITÉCNICO SUPERIOR;admcepsz@unizar.es;976.762.032
50008848;FACULTAD DE CIENCIAS;admcienz@unizar.es;976.761.158
50008851;FACULTAD DE DERECHO;admderez@unizar.es;976.761.001
50008861;FACULTAD DE FILOSOFÍA Y LETRAS;secrefil@unizar.es;976.761.505
50008873;FACULTAD DE MEDICINA;admmediz@unizar.es;976.762.068
50008885;FACULTAD DE VETERINARIA;admvetez@unizar.es;976.761.611
50008897;FACULTAD DE CIENCIAS ECONÓMICAS Y EMPRES;admeconz@unizar.es;976.762.131
50017102;Nº 1;iesmmozaragoza@educa.aragon.es;976.331.803
50017643;LA CARTUJA BAJA;layka84@hotmail.com;976.500.808
44700050;DE CANTAVIEJA;eoepcantavieja@educa.aragon.es;964.185.208
44700062;DE TERUEL;eoepteruel@educa.aragon.es;978.602.693
44700074;DE UTRILLAS;eoeputrillas@educa.aragon.es;978.758.355
44700086;DE ANDORRA;eoepandorra@educa.aragon.es;978.843.478
44700098;DE CALAMOCHA;eoepcalamocha@educa.aragon.es;978.730.597
50700239;VENTA DEL OLIVAR;criezzaragoza@educa.aragon.es;976.341.133
50700011;DE CALATAYUD;profesoradocalatayud@educa.aragon.es;976.884.356
22004670;ESCUELA POLITÉCNICA SUPERIOR;admingth@unizar.es;974.239.301
22004682;FACULTAD DE CIENCIAS HUMANAS Y DE LA EDU;admciheh@unizar.es;974.239.354
22004724;ESCUELA UNIVERSITARIA DE ENFERMERÍA HOSP;admenfeh@unizar.es;974.210.288
50018878;EL BOSQUE;einfantil-cascohistorico@zaragoza.es;976.430.862
22700042;DE SABIÑÁNIGO;info@cifesabinanigo.es;974.481.176
22700054;DE FRAGA;eoepfraga@educa.aragon.es;974.473.021
22700066;DE GRAUS;eoepgraus@educa.aragon.es;974.546.062
22700078;DE HUESCA;eoephuesca@educa.aragon.es;974.245.366
50017761;CENTRO NACIONAL DE ESTUDIOS DE TÉCNICOS;josealonso@tecnicodeportivo.net;976.087.068
50017771;ZARAGOZA SCHOOLHOUSE;hello@zaragozaschoolhouse.com;976.569.900
50900061;CENTRO DE MEDICINA DEL DEPORTE;;
50900071;ARCHIVO HISTÓRICO PROVINCIAL;;
50900083;MUSEO DE ZARAGOZA;;
50900095;PARQUE DEPORTIVO EBRO;;
44004586;ESCUELA UNIVERSITARIA POLITÉCNICA;admingtt@unizar.es;978.618.102
44004136;ESCUELA UNIVERSITARIA DE ENFERMERÍA HOSP;ADMENFET@POSTA.UNIZAR.ES;978.620.648
44004021;FACULTAD DE CIENCIAS SOCIALES Y HUMANAS;adminter@unizar.es;978.618.108
22006149;FACULTAD DE CIENCIAS DE LA SALUD Y DEL D;facuhu@unizar.es;974.239.393
50008939;UNIV.DE ZARAGOZA;rector@posta.unizar.es;976.761.000
50008991;ESCUELA UNIVERSITARIA DE CIENCIAS DE LA;admenfez@unizar.es;976.761.751
22010840;CENTRO DE FORMACIÓN EDUCATIVA FUNDACIÓN;;974.243.834
50701025;E.ESPEC. DISCAP. FÍS.: MOTOR. Y ORGÁNICA;equiespefisica@educa.aragon.es;
50019354;DE LA MUELA;ieslamuela@educa.aragon.es;976.149.964
50019391;BARQUITOS;;
50019101;DE VILLANUEVA DE GÁLLEGO;iesvillanuevadegallego@educa.aragon.es;976.180.698
50019111;SALTARINES;saltarines.julieta@hotmail.com;976.547.156
22010839;MONZÓN III;ceipmonzon@educa.aragon.es;974.415.081
50019411;DE SOS DEL REY CATÓLICO;secretaria@fpvalledetena.com;976.550.365
50019445;NUVOLA;;
50019457;LITTLE LANUZA;secretaria@juandelanuza.org;976.300.336
50019482;ARTE-MISS ZARAGOZA, CENTRO 2;deborah@arte-miss.com;876.282.695
44010707;LAS TORRES;asocdanzalastorres@gmail.com;
50019512;MODERNO SANTA MARÍA;cmusicasantamaria2013@gmail.com;976.293.871
50019524;ESCUELA ARAGONESA DEL DEPORTE;escadeporte@aragon.es;976.714.978
50019561;PARQUE DEL AGUA;acoloma@hipicaparquedelagua.es;630.868.301
44701017;DE ALCORISA;cifealcorisa@educa.aragon.es;978.840.357
22010888;INTERNATIONAL COACHES EDUCATION;;
50019615;SOLEDAD PUÉRTOLAS;cpisoledadpuertolas@educa.aragon.es;690.025.734
22010906;DE FRAGA;;
50019603;DE LA ALMOLDA;;
50019627;DE UTEBO;;
22010918;RÍO VERO;;
44010720;SAGALETS (AULA DE VALDELTORMO);;978.858.001
50019639;PEQUEÑOS VENECIANOS;pvenecianos@gmail.com;653.818.266
22010921;BRAVO! ESPACIO DE MÚSICA;info@bravoespaciomusica.com;974.218.712
22010943;DE SODETO;;
22010955;DE BOLTAÑA;ninones2006@yahoo.es;974.502.416
44010732;DE ALCAÑIZ;;
50701050;C.ARAG.LENGUAS EXTRANJ.PARA LA EDUCACION;centrolenguas@aragon.es;976.506.628
22010931;DE VILLANUEVA DE SIJENA;;
50019688;ESCUELA ARAGONESA DE ENTRENADORES DE ATL;;
50019691;NUNÚ BEBÉ;;
50019664;ALMADA;;976.807.219
50019676;MARTINA BESCÓS;iesmartinabescos@educa.aragon.es;
50019251;VAL DE LA ATALAYA;ceipmaria2@educa.aragon.es;976.124.549
22010797;DE SENA;aytosena@monegros.net;974.578.345
22010815;VIRGEN DEL ROSARIO;chimillas@chimillas.es;974.224.571
22010827;DE BROTO;;
44010628;DE MAS DE LAS MATAS;ayuntamiento@masdelasmatas.com;978.848.112
44010631;PEQUEÑALBA;villastar.te97@yahoo.es;978.680.100
44010641;SARGANTESA;;978.650.002
50019093;LAS FÁBULAS;ayuntamiento@cuartedehuerva.es;976.463.705
50019123;DE PINA DE EBRO;ayuntamiento@pinadeebro.es;976.165.007
50019135;PARQUE BRUIL;;
50019305;DADA;hola@escueladada.com;976.935.661
50019147;FUNDACIÓN LABORAL DE LA CONSTRUCCIÓN;lvillaluenga@fundacionlaboral.org;976.740.626
44010665;SAGALETS (AULA DE BECEITE);administracion@matarranya.org;978.890.860
50019196;CANTACUCOS;novallas@dpz.es;976.198.292
50019214;IR CRECIENDO;info@ircreciendo.com;976.932.127
50019241;PLANETA IMAGINARIO;info@planeta-imaginario.es;976.953.659
50019287;ZARAGOZA SUR;ceipzgzsur@educa.aragon.es;876.646.421
50019718;NANYLAND PARQUE VENECIA;parquevenecia@nanyland.com;976.445.479
22701009;DE HUESCA;eoephuesca@educa.aragon.es;
22701010;DE MONZÓN;eoepmonzon@educa.aragon.es;
44701029;DE TERUEL;eoepteruel@educa.aragon.es;
44701030;DE ALCAÑIZ;eoipalcaniz@educa.aragon.es;
22010852;DE MONZÓN;eoimonzon@educa.aragon.es;
50701001;CENTRO INNOVACIÓN PARA LA FP DE ARAGÓN;cifpa@aragon.es;876.269.171
44010677;SANTA EMERENCIANA;resseteruel@educa.aragon.es;978.620.533
50019299;PILAR BAYONA;ceipcuartetres@educa.aragon.es;876.261.091
50019317;FLORIÁN REY;ceipflorianrey@educa.aragon.es;976.813.597
22010864;COTONET;escuelacotonet@gmail.com;636.434.982
50701062;DE ZARAGOZA;eoeatzaragoza@educa.aragon.es;
50701074;DE CALATAYUD;eoeatcalatayud@educa.aragon.es;
50701086;DE EJEA DE LOS CABALLEROS;eoeatejea@educa.aragon.es;690.745.111
50019721;CENTRO NACIONAL DE ESTUDIOS DE TÉCNICOS;;
22701022;DE BENABARRE;;
50701098;DE ZARAGOZA;asesoriaconvivencia@aragon.es;976.345.388
50019202;CENTRO NACIONAL DE ESTUDIOS DE TÉCNICOS;joseanted@gmail.com;675.552.015
50019226;DE SÁSTAGO;sastago@dpz.es;976.178.011
50019238;DE LA MUELA;escuelainfantillamuela@gmail.com;976.144.293
50019184;VILLA DE ZUERA;ayuntamiento@ayunzuera.com;976.680.002
44010653;SNOOPY;selvi.1964@hotmail.com;978.612.180
50019159;EL NIDO DE PATRICIA;info@elnidodepatricia.com;976.496.439
50019275;CENTRO DE ENSEÑANZAS DEPORTIVAS-ENTEDE;;
50019263;KID'S GARDEN ACTUR;kidsgardenactur@gmail.com;876.040.944
50019007;NENETES;guarderianenetes@hotmail.com;976.307.379
22010803;MARÍA SÁNCHEZ ARBÓS;juventud@huesca.es;974.213.325
50019081;SAN JORGE;cpisanjorge@educa.aragon.es;976.974.014
50019019;JULIO VERNE;cpijulioverne@educa.aragon.es;876.263.100
50019020;VALDESPARTERA;iesvaldespartera@educa.aragon.es;976.932.353
44010549;SEÑORA PABLA;ayuntamiento@urreadegaen.com;606.251.694
50018970;GLORIA FUERTES-BARDENAS;escuelainfantil@aytoejea.es;976.677.556
50018994;GLORIA FUERTES-SANTA ANASTASIA;escuelainfantil@aytoejea.es;976.677.556
50018969;DE LA DELEGACIÓN ESPECIAL DE ECONOMÍA Y;tcaldana07@hotmail.com;976.769.984
50019470;MONTESSORI KIDS;administracion@fundacionmontessori.com;976.306.100
44010768;DE MEZQUITA DE JARQUE;;
50019901;VITAE ZARAGOZA;;
50701049;TRASTORNO MENTAL Y DE LA CONDUCTA;;
50019858;NANYLAND HISPANIDAD;hispanidad@nanyland.com;976.757.741
50019871;DUENDECILLOS;;
50019883;ARCO IRIS;;
44010793;DE ALCAÑIZ;;
44010801;DE ALCAÑIZ;;
44010811;DE ALCAÑIZ;;
50019834;FERNANDO LÁZARO CARRETER;;
50019846;Nº 1;;
22011078;TECNICOS DEPORTIVOS TÁNDEM;;
50400084;UNIVERSIDAD DE VERANO DE ZARAGOZA;pchueca@unizar.es;976.761.047
50400085;SEMINARIO INTERDISCIPLINAR DE ESTUDIOS D;;
50400086;AYUNTAMIENTO DE BORJA;;
50400087;DTO CIENCIAS DE LA DOCUMENTACIÓN E HISTO;;
50400088;FUNDACIÓN MANUEL GIMÉNEZ ABAD;SECRETARIO@FUNDACIONGIMENEZABAD.ES;976.289.715
50400089;INSTITUTO ARAGONÉS DE LA JUVENTUD;;
50400090;DTO DE FILOLOGÍA ESPAÑOLA (LITERATURAS E;;
50400091;DEPARTAMENTO DE HISTORIA DEL ARTE. F. DE;;
50400092;ASOCIACIÓN DE PADRES DE NIÑOS AUTISTAS D;;
50400093;AYUNTAMIENTO DE ALAGON;;
50400094;SECCIÓN DE ARAGÓN DE LA REAL SOCIEDAD ES;;
50400095;DEPARTAMENTO FILOSOFIA DE LA FACULTAD DE;;
50400096;FEDERACIÓN ARAGONESA DE SOLIDARIDAD;FEDERACION@ARAGONSOLIDARIO.ORG;
50400097;SOS RACISMO ARAGÓN;;
50400098;AYUNTAMIENTO DE CALATAYUD;;
50400099;ACCIÓN SOCIAL Y SINDICAL INTERNACIONALIS;assi@assi-assi.org;669.425.754
50400108;KAIROS COOPERATIVA DE INICIATIVA SOCIAL;info@kairos.com;976.279.175
50400112;UNIVERSIDAD SAN JORGE;plarraz@usj.es;976.060.100
50400113;ASOCIACION DE EDUCADORES, FORMADORES E I;AEFI@ASOCIACIONEDUCADORES.ES;876.090.116
50400114;FUNDACION LABORAL DE LA CONSTRUCCION;FORMACIONARAGON@FUNDACIONLABORAL.ORG;976.740.626
50400115;FUNDACIÓN GOYA EN ARAGON;INFO@FUNDACIONGOYAENARAGON.ES;976.484.547
50400116;CREARTE, ASOCIACIÓN PARA LA CREATIVIDAD,;TERAPIASCREATIVAS2011@GMAIL.COM;637.448.941
50400117;CÁTEDRA DE COOPERACIÓN PARA EL DESARROLL;CATCODES@UNIZAR.ES;976.353.188
50400118;ASOCIACIÓN PROFESIONAL ARAGONESA DE DANZ;DANZATERAPIARAGON@YAHOO.ES;656.869.534
50400119;FEAPS ASOCIACIÓN DE ENTIDADES PERSONAS C;FEAPSARAGON@FEAPSARAGON.COM;976.738.581
50400120;FUNDACIÓN SEMINARIO DE INVESTIGACIÓN PAR;fundacionsip@seipaz.org;976.230.113
50400121;NOGARA;ASOZIAZION@NOGARA-RELIGADA-ORG;607.889.465
50400122;ONCE;iema@once.es;976.282.477
50400123;SURYA, ASOC. DE AMIGOS Y FAMILIAS ADOPTA;AMIGOS_FAMILIASDEINDIA@HOTMAIL.COM;661.361.804
50400124;ASOCIACIÓN CULTURAL AULA LIBRE;JLOPEZXANC@EDUCA.ARAGON.ES;976.737.842
50400125;ZARAGOZA DEPORTE MUNICIPAL;ZARAGOZADEPORTE@ZARAGOZADEPORTE.COM;976.723.838
50400126;ANPE ARAGON_ASOCIACIÓN NACIONAL DEL PROF;zaragoza@anpe.es;976.224.741
50400127;FACULTAD DE DERECHO UNIVERSIDAD ZARAGOZA;;
50400128;DEP. DE DIDÁCTICA DE LAS LENGUAS Y DE LA;;
50400129;ADRI JILOCA GALLOCANTA;;
50400130;ESCUELA SUPERIOR DE DISEÑO;direccion@esda.es;976.237.545
50400131;ESCUELA DE ARTE DE ZARAGOZA;direccion@escueladeartedezaragoza.com;
50400132;ASOCIACIÓN ÁGORA TIEMPO LIBRE;agoratiempolibre@hotmail.com;976.255.555
50400133;COLEGIO PROFESIONAL DE PSICOLÓGOS;daragon@cop.es;976.201.982
50400134;FUNDACIÓN C.A. TRASTÉVERE;JIBILBAO@ESCOLAPIOS.ES;
50400135;FUNDACIÓN ENTRECULTURAS;ARAGON@ENTRECULTURAS.ORG;
50400136;FUNDACIÓN GARCÍA ESTEBAN;FUNDACION@DUOGARCIAESTEBAN.COM;
50400137;FUNDACION PIQUER;piquer@piquerestudios.com;976.356.544
50400138;MASMEDIACIÓN;MASMEDIACION@GMAILCOM;
50400139;DIPUTACION PROVINCIAL DE ZARAGOZA;jpinar@dpz.es;976.288.925
50400140;AGORA ASOCIACIÓN PROFESIONAL DE ORIENTAD;coordinacion@redagora.org;616.211.469
50400141;ASOC. CENTRO IN MEDIACIÓN DE SOLUCIÓN/TR;centro@in-mediacion.com;618.178.859
50400142;ASOCIACIÓN DE PROFESORES DE MÚSICA DE AR;apmaragon@gmail.com;606.467.470
50400143;CENTRO MUN. ATENCIÓN/PREVENCIÓN DE ADICC;prevencionadicciones@zaragoza.es;976.724.916
50400144;DOCE_ASOCIACIÓN PARA LA CREACIÓN DE ENTO;asociacion12@gmail.es;666.157.428
50400145;FUNDACIÓN TALITA;info@talitaaragon.org;669.206.763
50400148;IBERCAJA ZENTRUM;pgracia@ibercajaobrasocial.org;976.482.812
50400149;INST. ESTUDIOS HUMANISTICOS;ieturolenses@dpteruel.es;978.617.860
50400150;OSCUS_ FUNDACIÓN OBRA SOCIAL Y CULTURAL ;zaragoza-es@oscus.org;976.281.996
50400151;FACULTAD EDUCACIÓN UNIVERSIDAD ZARAGOZA;;
50400153;ADESDAR_ASOCIACION DE DOCENTES DE ECONOM;iespagazaragoza@educa.aragon.es;976.385.012
50400154;APTEAR FERMÍN MATEO_ASOC. PROFESORES DE ;APTEARferminmateo@gmail.com;976.066.888
50400155;EDUCARE_ASOCIACIÓN EDUCARE FORMACIÓN;info@educareformacion.es;651.103.004
50400156;ASOCIACIÓN ESPAÑOLA VERBOTONAL;aeverbotonal@yahoo.es;976.552.749
50400157;ASOCIACIÓN GEOVIVA;info@geoviva.es;625.597.729
50400158;SOCIEDAD ESPAÑOLA DE ESTUDIOS CLÁSICOS;jvela@unizar.es;976.761.000
50400159;IBERCIDE_CENTRO IGERCAJA DE DESARROLLO E;ccactur@ibercajaobrasocial.org;976.733.620
50400160;FUNDACION LACUS ARAGON;bcaparros@lacusaragon.org;655.405.394
50400161;MAS EDUCACION FISICA ARAGON;masefaragon@gmail.com;657.113.666
50400162;COLEGIO PROFESIONAL PSICOLOGOS ARAGON;daragon@cop.es;976.201.982
50400164;MEJORA TU ESCUELA PUBLICA ARAGON;mejoratuescuelapublica.aragon@gmail.com;677.872.690
50400165;ASOCIACIÓN DE ESTUDIANTES DE ARAGÓN;secretaria@escuelaredes.org;976.219.045
50400166;ASOCIACIÓN COACHING, EDUCACIÓN Y FORMACI;redes.acef@gmail.com;
50400174;DEPARTAMENTO INFORMATICA E INGENIERIA DE;mgbedia@unizar.es;876.555.497
50400175;ASOCIACIÓN LANNAS;info@lannas.org;687.392.112
50400176;OBRA SOCIAL IBERCAJA;amfarre@obrasocial.ibercaja.es;
50400178;CENTRO DE ORIENTACIÓN Y ESTUDIOS DE LA F;info@coef.es;670.646.358
50400183;ASOCIACION CONTRA EL ACOSO IGNIS;info@asociacionignis.com;
50400184;IRISAR. SEXOLOGÍA SOCIAL E INVESTIGACIÓN;irisarsexologia@gmail.com;
50400185;INGENIERIA SIN FRONTERAS;;679.845.952
50400187;ASOCIACIÓN MÉDICOS DEL MUNDO - ARAGÓN;aragon@medicosdelmundo.org;976.404.940
22400001;ANPE HUESCA_SINDICATO INDEPENDIENTE;anpe-hu@teleline.es;974.227.965
22400002;ASOCIACIÓN DE PROFESORES DE AUTOMOCIÓN (;aspa@lettera.es;974.310.294
22400003;CRUZ ROJA ESPAÑOLA. ASAMBLEA PROVINCIAL ;huesca@cruzroja.es;974.221.186
22400004;ESCUELA DE VERANO ALTOARAGÓN;monicapuysaura@gmail.com;616.602.248
22400005;ESCUELA OFICIAL DE IDIOMAS IGNACIO LUZÁN;;
22400006;ESCUELA OFICIAL DE IDIOMAS DE HUESCA;;
22400007;PLATAFORMA DEL VOLUNTARIADO DE ARAGÓN;PLATAFORMA@VOLUNTARIADODEARAGON.ORG;671.953.300
22400008;ASOCIACION DOWN HUESCA;ADMINIS@DOWNHUESCA.COM;974.222.805
22400009;EXCELENTÍSIMO AYUNTAMIENTO DE BENASQUE;AYTO@BENASQUE.ORG;974.551.001
22400010;FADOT, FUNDACIÓN PARA EL DESARROLLO Y OB;FUNDACION.FADOT@ARAGON.ES;638.853.637
22400011;FUNDACIÓN BEULAS-CDAN;DIDACTICA@CDAN.ES;974.239.893
22400012;ASOCIACION PRO DESARROLLO Y GESTIÓN GLOB;formación@prodes.org;974.232.449
22400013;AGRUPACIÓN ASTRONÓMICA DE HUESCA;;
22400014;ASOCIACIÓN ARAGONESA DE EUTONÍA;EUTONIARAGON@GMAIL.COM;
22400015;FACULTAD DE CIENCIAS HUMANAS Y DE LA EDU;jajulian@unizar.es;
28400001;INSTITUTO CERVANTES;;
50400193;ASAMBLEA DE COOPERACIÓN POR LA PAZ;aragon@acpp.com;
50400194;ASOCIACIÓN DE MAESTROS DE AUDICIÓN Y LEN;asociacionalaragon@gmail.com;675.195.946
50400195;ASOCIACIÓN SAN FRANCISCO DE SALES DE HIP;direccionhipoacusicos@gmail.com;974.227.783
50400196;CALA Y PEDAL S. COOP (LA CICLERÍA);chavi@lacicleria.com;627.501.843
50400197;FUNDACIÓN INTERED;aragon@intered.org;976.348.452
50400198;VIAJE A LA SOSTENIBILIDAD;contacto@viajealasostenibilidad.org;651.117.943
44400001;"CENTRO ARAGONÉS "" FILOSOFÍA PARA NIÑOS""";;978.612.400
44400002;CRUZ ROJA ESPAÑOLA. ASAMBLEA PROVINCIAL ;teruel@cruzroja.es;978.602.609
44400003;UNIVERSIDAD DE VERANO DE TERUEL;;978.618.118
44400004;DIPUTACION PROVINCIAL DE TERUEL;;
44400005;ESCUELA OFICIAL DE IDIOMAS DE TERUEL;;
44400006;ESCUELA OFICIAL DE IDIOMAS DE ALCAÑIZ;;
44400007;ASOCIACION TUROLENSE PARA LA CALIDAD Y F;ASOCIACIONCALIDADPROFESORADO@GMAIL.COM;978.602.114
50300001;ENTIDAD DE FORMACIÓN PROFESIONAL;;
50400001;AGRUPACIÓN DE SORDOS DE ZARAGOZA Y ARAGÓ;asza@asza.net;976.200.362
50400002;ASOCIACIÓN ARAGÓN- CITTÁ DI ROMA;mariano@cittadiroma.es;976.597.136
50400003;ARBADA. ASOC.ARAG. FAMILIARES TRASTORNO ;;976.389.575
50400004;ASOCIACIÓN ARAGONESA DE PSICOPEDAGOGÍA;aaps@psicoaragon.es;976.759.551
50400005;"ASOCIACIÓN ARTÍSTICA ""UTRILLO""";utrillo@teleline.es;976.277.888
50400006;"ASOCIACIÓN CULTURAL  ""MOVIMENTO""";danza@eresmas.net;976.592.173
50400007;ASOCIACIÓN CULTURAL AMIGOS DE LA  CIENCI;kaleidos@airtel.net;976.359.323
50400008;CENTROS DE ENSEÑANZA MUSICALES DE LA C.A;jrsmaria@cece.es;976.293.871
