ensenanza,curso,codmodalidad,modalidad,turno,exp,sexo,codcentro,centro,provincia,localidad,nmatriculado
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20050000223135,Hombre,50007017,MARÍA AUXILIADORA,Zaragoza,Zaragoza,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20050000223193,Mujer,50006529,EL BUEN PASTOR,Zaragoza,Zaragoza,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20050000223207,Mujer,44003211,SANTA EMERENCIANA,Teruel,Teruel,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20050000223210,Mujer,50011070,SIGLO XXI,Zaragoza,Pedrola,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20050000223394,Mujer,50001167,LEONARDO DE CHABACIER,Zaragoza,Calatayud,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20050000223494,Mujer,50007017,MARÍA AUXILIADORA,Zaragoza,Zaragoza,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20050000224073,Mujer,22002508,RAMÓN Y CAJAL,Huesca,Huesca,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20050000224096,Mujer,50011525,MIGUEL CATALÁN,Zaragoza,Zaragoza,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20050000224153,Hombre,44004550,FERNANDO LÁZARO CARRETER,Teruel,Utrillas,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20050000224355,Hombre,50005793,ÍTACA,Zaragoza,Zaragoza,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20050000224453,Hombre,50008125,CORONA DE ARAGÓN,Zaragoza,Zaragoza,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20050000224475,Mujer,44005177,BAJO ARAGÓN,Teruel,Alcañiz,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20050000224550,Hombre,22004888,BAJO CINCA,Huesca,Fraga,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20050000224821,Hombre,50001167,LEONARDO DE CHABACIER,Zaragoza,Calatayud,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20050000224866,Hombre,22003288,JOSÉ MOR DE FUENTES,Huesca,Monzón,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20050000224894,Hombre,50001167,LEONARDO DE CHABACIER,Zaragoza,Calatayud,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20050000224907,Hombre,50006529,EL BUEN PASTOR,Zaragoza,Zaragoza,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20050000224927,Mujer,50008125,CORONA DE ARAGÓN,Zaragoza,Zaragoza,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20050000225286,Mujer,22004888,BAJO CINCA,Huesca,Fraga,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20050000225419,Mujer,50010144,PABLO SERRANO,Zaragoza,Zaragoza,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20050000225553,Mujer,50011525,MIGUEL CATALÁN,Zaragoza,Zaragoza,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20050000225556,Mujer,44003211,SANTA EMERENCIANA,Teruel,Teruel,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20050000225659,Hombre,22004888,BAJO CINCA,Huesca,Fraga,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20050000225683,Hombre,50011513,TUBALCAÍN,Zaragoza,Tarazona,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20050000225820,Mujer,50011513,TUBALCAÍN,Zaragoza,Tarazona,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20050000225836,Mujer,50011513,TUBALCAÍN,Zaragoza,Tarazona,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20050000226357,Mujer,50010168,CONDES DE ARAGÓN,Zaragoza,Zaragoza,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20050000226445,Hombre,44004653,PABLO SERRANO,Teruel,Andorra,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20050000226734,Mujer,50009543,BENJAMÍN JARNÉS,Zaragoza,Fuentes de Ebro,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20050000226760,Mujer,50005793,ÍTACA,Zaragoza,Zaragoza,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20050000226866,Mujer,50007017,MARÍA AUXILIADORA,Zaragoza,Zaragoza,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20050000226977,Mujer,22003288,JOSÉ MOR DE FUENTES,Huesca,Monzón,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20050000226988,Mujer,22004888,BAJO CINCA,Huesca,Fraga,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20050000227104,Mujer,50010168,CONDES DE ARAGÓN,Zaragoza,Zaragoza,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20050000227175,Mujer,50010144,PABLO SERRANO,Zaragoza,Zaragoza,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20050000227184,Mujer,50007728,SAN VICENTE DE PAÚL,Zaragoza,Zaragoza,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20050000227384,Hombre,50005793,ÍTACA,Zaragoza,Zaragoza,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20050000227632,Mujer,22003288,JOSÉ MOR DE FUENTES,Huesca,Monzón,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20050000227847,Mujer,22002508,RAMÓN Y CAJAL,Huesca,Huesca,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20050000227990,Mujer,22003288,JOSÉ MOR DE FUENTES,Huesca,Monzón,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20050000228288,Mujer,22002508,RAMÓN Y CAJAL,Huesca,Huesca,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20050000228795,Mujer,50009543,BENJAMÍN JARNÉS,Zaragoza,Fuentes de Ebro,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20050000228900,Mujer,50010533,CABAÑAS,Zaragoza,Almunia de Doña Godina (La),1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20060000229282,Hombre,50011525,MIGUEL CATALÁN,Zaragoza,Zaragoza,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20060000229292,Mujer,50007376,LA PURÍSIMA PARA NIÑOS SORDOS,Zaragoza,Zaragoza,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20060000229568,Hombre,50010168,CONDES DE ARAGÓN,Zaragoza,Zaragoza,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20060000229580,Hombre,50010144,PABLO SERRANO,Zaragoza,Zaragoza,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20060000230095,Mujer,50006529,EL BUEN PASTOR,Zaragoza,Zaragoza,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20060000230705,Hombre,22004888,BAJO CINCA,Huesca,Fraga,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20060000231462,Hombre,50007376,LA PURÍSIMA PARA NIÑOS SORDOS,Zaragoza,Zaragoza,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20060000232439,Hombre,22004888,BAJO CINCA,Huesca,Fraga,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20060000232632,Mujer,50008125,CORONA DE ARAGÓN,Zaragoza,Zaragoza,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20060000232889,Hombre,50011732,MAR DE ARAGÓN,Zaragoza,Caspe,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20060000233519,Mujer,22003288,JOSÉ MOR DE FUENTES,Huesca,Monzón,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20060000233568,Mujer,50009592,GALLICUM,Zaragoza,Zuera,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20060000233713,Hombre,50005793,ÍTACA,Zaragoza,Zaragoza,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20060000234150,Mujer,50009592,GALLICUM,Zaragoza,Zuera,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20060000234541,Mujer,44003211,SANTA EMERENCIANA,Teruel,Teruel,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20060000234548,Hombre,50011008,RODANAS,Zaragoza,Épila,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20060000234825,Hombre,44004550,FERNANDO LÁZARO CARRETER,Teruel,Utrillas,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20060000235136,Mujer,22004888,BAJO CINCA,Huesca,Fraga,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20060000235352,Mujer,44004550,FERNANDO LÁZARO CARRETER,Teruel,Utrillas,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20060000235419,Hombre,50005793,ÍTACA,Zaragoza,Zaragoza,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20060000235441,Mujer,50009592,GALLICUM,Zaragoza,Zuera,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20060000235625,Mujer,22002508,RAMÓN Y CAJAL,Huesca,Huesca,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20060000235690,Mujer,50011008,RODANAS,Zaragoza,Épila,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20060000235771,Mujer,50010041,PEDRO CERRADA,Zaragoza,Utebo,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20060000235805,Mujer,44004550,FERNANDO LÁZARO CARRETER,Teruel,Utrillas,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20060000235864,Hombre,50011732,MAR DE ARAGÓN,Zaragoza,Caspe,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20060000235879,Hombre,50009543,BENJAMÍN JARNÉS,Zaragoza,Fuentes de Ebro,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20060000236170,Hombre,50011732,MAR DE ARAGÓN,Zaragoza,Caspe,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20060000236179,Hombre,50011732,MAR DE ARAGÓN,Zaragoza,Caspe,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20060000236713,Hombre,44004550,FERNANDO LÁZARO CARRETER,Teruel,Utrillas,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20060000236765,Mujer,44004550,FERNANDO LÁZARO CARRETER,Teruel,Utrillas,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20060000237036,Mujer,50010041,PEDRO CERRADA,Zaragoza,Utebo,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20060000237363,Mujer,22004888,BAJO CINCA,Huesca,Fraga,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20060000237535,Hombre,50007376,LA PURÍSIMA PARA NIÑOS SORDOS,Zaragoza,Zaragoza,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20060000237687,Hombre,50005793,ÍTACA,Zaragoza,Zaragoza,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20060000237737,Mujer,50011008,RODANAS,Zaragoza,Épila,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20060000237910,Hombre,44005177,BAJO ARAGÓN,Teruel,Alcañiz,1
Ciclos Formativos de Formación Profesional Básica,1,FPB101,Servicios Administrativos,Diurno,20060000238015,Mujer,22002508,RAMÓN Y CAJAL,Huesca,Huesca,1
