"codigo":"ACA301","denominacion":"Gestión y Organización de Empresas Agropecuarias","grado":" "-n-"codigo":"MONTEARAGÓN","tipo":"Centro público"
"codigo":"ADG201","denominacion":"Gestión Administrativa","grado":"MEDIO "-n-"codigo":"CINCO VILLAS","tipo":"Centro público"
"codigo":"ADG201","denominacion":"Gestión Administrativa","grado":"MEDIO "-n-"codigo":"RODANAS","tipo":"Centro público"
"codigo":"ADG201","denominacion":"Gestión Administrativa","grado":"MEDIO "-n-"codigo":"BENJAMÍN JARNÉS","tipo":"Centro público"
"codigo":"ADG201","denominacion":"Gestión Administrativa","grado":"MEDIO "-n-"codigo":"SIGLO XXI","tipo":"Centro público"
"codigo":"ADG201","denominacion":"Gestión Administrativa","grado":"MEDIO "-n-"codigo":"TUBALCAÍN","tipo":"Centro público"
"codigo":"ADG201","denominacion":"Gestión Administrativa","grado":"MEDIO "-n-"codigo":"PEDRO CERRADA","tipo":"Centro público"
"codigo":"ADG201","denominacion":"Gestión Administrativa","grado":"MEDIO "-n-"codigo":"SAN VALERO","tipo":"Centro privado"
"codigo":"ADG201","denominacion":"Gestión Administrativa","grado":"MEDIO "-n-"codigo":"ACADEMIA MARCO","tipo":"Centro privado"
"codigo":"ADG201","denominacion":"Gestión Administrativa","grado":"MEDIO "-n-"codigo":"CEFOR IZQUIERDO","tipo":"Centro privado"
"codigo":"ADG201","denominacion":"Gestión Administrativa","grado":"MEDIO "-n-"codigo":"CONDES DE ARAGÓN","tipo":"Centro privado"
"codigo":"ADG201","denominacion":"Gestión Administrativa","grado":"MEDIO "-n-"codigo":"PLUS ULTRA","tipo":"Centro privado"
"codigo":"ADG201","denominacion":"Gestión Administrativa","grado":"MEDIO "-n-"codigo":"EL BUEN PASTOR","tipo":"Centro privado"
"codigo":"ADG201","denominacion":"Gestión Administrativa","grado":"MEDIO "-n-"codigo":"MARÍA AUXILIADORA","tipo":"Centro privado"
"codigo":"ADG201","denominacion":"Gestión Administrativa","grado":"MEDIO "-n-"codigo":"OBRA DIOCESANA SANTO DOMINGO DE SILOS","tipo":"Centro privado"
"codigo":"ADG201","denominacion":"Gestión Administrativa","grado":"MEDIO "-n-"codigo":"SAN VICENTE DE PAÚL","tipo":"Centro privado"
"codigo":"ADG201","denominacion":"Gestión Administrativa","grado":"MEDIO "-n-"codigo":"ANDALÁN","tipo":"Centro público"
"codigo":"ADG201","denominacion":"Gestión Administrativa","grado":"MEDIO "-n-"codigo":"CORONA DE ARAGÓN","tipo":"Centro público"
"codigo":"ADG201","denominacion":"Gestión Administrativa","grado":"MEDIO "-n-"codigo":"MIGUEL CATALÁN","tipo":"Centro público"
"codigo":"ADG201","denominacion":"Gestión Administrativa","grado":"MEDIO "-n-"codigo":"SANTIAGO HERNÁNDEZ","tipo":"Centro público"
"codigo":"ADG201","denominacion":"Gestión Administrativa","grado":"MEDIO "-n-"codigo":"TIEMPOS MODERNOS","tipo":"Centro público"
"codigo":"ADG201","denominacion":"Gestión Administrativa","grado":"MEDIO "-n-"codigo":"TIEMPOS MODERNOS","tipo":"Centro público"
"codigo":"ADG201","denominacion":"Gestión Administrativa","grado":"MEDIO "-n-"codigo":"ÍTACA","tipo":"Centro público"
"codigo":"ADG201","denominacion":"Gestión Administrativa","grado":"MEDIO "-n-"codigo":"GALLICUM","tipo":"Centro público"
"codigo":"ADG301","denominacion":"Administración y Finanzas","grado":"SUPERIOR "-n-"codigo":"HERMANOS ARGENSOLA","tipo":"Centro público"
"codigo":"ADG301","denominacion":"Administración y Finanzas","grado":"SUPERIOR "-n-"codigo":"BAJO CINCA","tipo":"Centro público"
"codigo":"ADG301","denominacion":"Administración y Finanzas","grado":"SUPERIOR "-n-"codigo":"SIERRA DE GUARA","tipo":"Centro público"
"codigo":"ADG301","denominacion":"Administración y Finanzas","grado":"SUPERIOR "-n-"codigo":"SANTO DOMINGO SAVIO","tipo":"Centro privado"
"codigo":"ADG301","denominacion":"Administración y Finanzas","grado":"SUPERIOR "-n-"codigo":"BIELLO ARAGÓN","tipo":"Centro público"
"codigo":"ADG301","denominacion":"Administración y Finanzas","grado":"SUPERIOR "-n-"codigo":"LA LLITERA","tipo":"Centro público"
"codigo":"ADG301","denominacion":"Administración y Finanzas","grado":"SUPERIOR "-n-"codigo":"PABLO SERRANO","tipo":"Centro público"
"codigo":"ADG301","denominacion":"Administración y Finanzas","grado":"SUPERIOR "-n-"codigo":"PABLO SERRANO","tipo":"Centro público"
"codigo":"ADG301","denominacion":"Administración y Finanzas","grado":"SUPERIOR "-n-"codigo":"SANTA EMERENCIANA","tipo":"Centro público"
"codigo":"ADG301","denominacion":"Administración y Finanzas","grado":"SUPERIOR "-n-"codigo":"FERNANDO LÁZARO CARRETER","tipo":"Centro público"
"codigo":"ADG301","denominacion":"Administración y Finanzas","grado":"SUPERIOR "-n-"codigo":"CABAÑAS","tipo":"Centro público"
"codigo":"ADG301","denominacion":"Administración y Finanzas","grado":"SUPERIOR "-n-"codigo":"EMILIO JIMENO","tipo":"Centro público"
"codigo":"ADG301","denominacion":"Administración y Finanzas","grado":"SUPERIOR "-n-"codigo":"MAR DE ARAGÓN","tipo":"Centro público"
"codigo":"ADG301","denominacion":"Administración y Finanzas","grado":"SUPERIOR "-n-"codigo":"CINCO VILLAS","tipo":"Centro público"
"codigo":"ADG301","denominacion":"Administración y Finanzas","grado":"SUPERIOR "-n-"codigo":"RODANAS","tipo":"Centro público"
"codigo":"ADG301","denominacion":"Administración y Finanzas","grado":"SUPERIOR "-n-"codigo":"TUBALCAÍN","tipo":"Centro público"
"codigo":"ADG301","denominacion":"Administración y Finanzas","grado":"SUPERIOR "-n-"codigo":"PEDRO CERRADA","tipo":"Centro público"
"codigo":"ADG301","denominacion":"Administración y Finanzas","grado":"SUPERIOR "-n-"codigo":"SAN VALERO","tipo":"Centro privado"
"codigo":"ADG301","denominacion":"Administración y Finanzas","grado":"SUPERIOR "-n-"codigo":"CEFOR IZQUIERDO","tipo":"Centro privado"
"codigo":"ADG301","denominacion":"Administración y Finanzas","grado":"SUPERIOR "-n-"codigo":"EL BUEN PASTOR","tipo":"Centro privado"
"codigo":"ADG301","denominacion":"Administración y Finanzas","grado":"SUPERIOR "-n-"codigo":"MARÍA AUXILIADORA","tipo":"Centro privado"
"codigo":"ADG301","denominacion":"Administración y Finanzas","grado":"SUPERIOR "-n-"codigo":"OBRA DIOCESANA SANTO DOMINGO DE SILOS","tipo":"Centro privado"
"codigo":"ADG301","denominacion":"Administración y Finanzas","grado":"SUPERIOR "-n-"codigo":"ANDALÁN","tipo":"Centro público"
"codigo":"ADG301","denominacion":"Administración y Finanzas","grado":"SUPERIOR "-n-"codigo":"CORONA DE ARAGÓN","tipo":"Centro público"
"codigo":"ADG301","denominacion":"Administración y Finanzas","grado":"SUPERIOR "-n-"codigo":"CORONA DE ARAGÓN","tipo":"Centro público"
"codigo":"ADG301","denominacion":"Administración y Finanzas","grado":"SUPERIOR "-n-"codigo":"MIGUEL CATALÁN","tipo":"Centro público"
"codigo":"ADG301","denominacion":"Administración y Finanzas","grado":"SUPERIOR "-n-"codigo":"SANTIAGO HERNÁNDEZ","tipo":"Centro público"
"codigo":"ADG301","denominacion":"Administración y Finanzas","grado":"SUPERIOR "-n-"codigo":"TIEMPOS MODERNOS","tipo":"Centro público"
"codigo":"ADG301","denominacion":"Administración y Finanzas","grado":"SUPERIOR "-n-"codigo":"ÍTACA","tipo":"Centro público"
"codigo":"ADG301","denominacion":"Administración y Finanzas","grado":"SUPERIOR "-n-"codigo":"GALLICUM","tipo":"Centro público"
"codigo":"ADG301","denominacion":"Administración y Finanzas","grado":"SUPERIOR "-n-"codigo":"COLEGIO MONTESSORI","tipo":"Centro privado"
"codigo":"ADG301","denominacion":"Administración y Finanzas","grado":"SUPERIOR "-n-"codigo":"COLEGIO MONTESSORI","tipo":"Centro privado"
"codigo":"ADG302","denominacion":"Asistencia a la dirección","grado":"SUPERIOR "-n-"codigo":"BAJO ARAGÓN","tipo":"Centro público"
"codigo":"ADG302","denominacion":"Asistencia a la dirección","grado":"SUPERIOR "-n-"codigo":"CORONA DE ARAGÓN","tipo":"Centro público"
"codigo":"ADG302","denominacion":"Asistencia a la dirección","grado":"SUPERIOR "-n-"codigo":"CORONA DE ARAGÓN","tipo":"Centro público"
"codigo":"AFD201","denominacion":"Conducción de Actividades Físico-Deportivas en el Medio Natural","grado":" "-n-"codigo":"SOBRARBE","tipo":"Centro público"
"codigo":"AFD201","denominacion":"Conducción de Actividades Físico-Deportivas en el Medio Natural","grado":" "-n-"codigo":"DE SAN BLAS","tipo":"Centro público"
"codigo":"AFD201","denominacion":"Conducción de Actividades Físico-Deportivas en el Medio Natural","grado":" "-n-"codigo":"MAR DE ARAGÓN","tipo":"Centro público"
"codigo":"AFD201","denominacion":"Conducción de Actividades Físico-Deportivas en el Medio Natural","grado":" "-n-"codigo":"ÍTACA","tipo":"Centro público"
"codigo":"AFD301","denominacion":"Animación de Actividades Físicas y Deportivas","grado":" "-n-"codigo":"PIRÁMIDE","tipo":"Centro público"
"codigo":"AFD301","denominacion":"Animación de Actividades Físicas y Deportivas","grado":" "-n-"codigo":"FRANCÉS DE ARANDA","tipo":"Centro público"
"codigo":"AFD301","denominacion":"Animación de Actividades Físicas y Deportivas","grado":" "-n-"codigo":"REYES CATÓLICOS","tipo":"Centro público"
"codigo":"AFD301","denominacion":"Animación de Actividades Físicas y Deportivas","grado":" "-n-"codigo":"OBRA DIOCESANA SANTO DOMINGO DE SILOS","tipo":"Centro privado"
"codigo":"AFD301","denominacion":"Animación de Actividades Físicas y Deportivas","grado":" "-n-"codigo":"ÍTACA","tipo":"Centro público"
"codigo":"AFD301","denominacion":"Animación de Actividades Físicas y Deportivas","grado":" "-n-"codigo":"ÍTACA","tipo":"Centro público"
"codigo":"AGA201","denominacion":"Producción Agropecuaria","grado":"MEDIO "-n-"codigo":"MONTEARAGÓN","tipo":"Centro público"
"codigo":"AGA201","denominacion":"Producción Agropecuaria","grado":"MEDIO "-n-"codigo":"DE SAN BLAS","tipo":"Centro público"
"codigo":"AGA201","denominacion":"Producción Agropecuaria","grado":"MEDIO "-n-"codigo":"DE MOVERA","tipo":"Centro público"
"codigo":"AGA201","denominacion":"Producción Agropecuaria","grado":"MEDIO "-n-"codigo":"E.F.A. EL SALTO","tipo":"Centro privado"
"codigo":"AGA204","denominacion":"Jardinería y Floristería","grado":"MEDIO "-n-"codigo":"MONTEARAGÓN","tipo":"Centro público"
"codigo":"AGA204","denominacion":"Jardinería y Floristería","grado":"MEDIO "-n-"codigo":"DE MOVERA","tipo":"Centro público"
"codigo":"AGA205","denominacion":"Aprovechamiento y Conservación del Medio Natural","grado":"GRADO MEDIO "-n-"codigo":"MONTEARAGÓN","tipo":"Centro público"
"codigo":"AGA205","denominacion":"Aprovechamiento y Conservación del Medio Natural","grado":"GRADO MEDIO "-n-"codigo":"INSTITUTO DE FORMACIÓN AGROAMBIENTAL","tipo":"Centro público"
"codigo":"AGA205","denominacion":"Aprovechamiento y Conservación del Medio Natural","grado":"GRADO MEDIO "-n-"codigo":"DE SAN BLAS","tipo":"Centro público"
"codigo":"AGA205","denominacion":"Aprovechamiento y Conservación del Medio Natural","grado":"GRADO MEDIO "-n-"codigo":"E.F.A. BOALARES","tipo":"Centro privado"
"codigo":"AGA205","denominacion":"Aprovechamiento y Conservación del Medio Natural","grado":"GRADO MEDIO "-n-"codigo":"SIERRA DE LA VIRGEN","tipo":"Centro público"
"codigo":"AGA205","denominacion":"Aprovechamiento y Conservación del Medio Natural","grado":"GRADO MEDIO "-n-"codigo":"DE MOVERA","tipo":"Centro público"
"codigo":"AGA205","denominacion":"Aprovechamiento y Conservación del Medio Natural","grado":"GRADO MEDIO "-n-"codigo":"SAN GABRIEL","tipo":"Centro privado"
"codigo":"AGA302","denominacion":"Gestión Forestal y del Medio Natural","grado":"SUPERIOR "-n-"codigo":"MONTEARAGÓN","tipo":"Centro público"
"codigo":"AGA302","denominacion":"Gestión Forestal y del Medio Natural","grado":"SUPERIOR "-n-"codigo":"INSTITUTO DE FORMACIÓN AGROAMBIENTAL","tipo":"Centro público"
"codigo":"AGA302","denominacion":"Gestión Forestal y del Medio Natural","grado":"SUPERIOR "-n-"codigo":"DE SAN BLAS","tipo":"Centro público"
"codigo":"AGA302","denominacion":"Gestión Forestal y del Medio Natural","grado":"SUPERIOR "-n-"codigo":"E.F.A. BOALARES","tipo":"Centro privado"
"codigo":"AGA302","denominacion":"Gestión Forestal y del Medio Natural","grado":"SUPERIOR "-n-"codigo":"DE MOVERA","tipo":"Centro público"
"codigo":"AGA303","denominacion":"Paisajismo y medio rural","grado":"SUPERIOR "-n-"codigo":"MONTEARAGÓN","tipo":"Centro público"
"codigo":"AGA303","denominacion":"Paisajismo y medio rural","grado":"SUPERIOR "-n-"codigo":"DE MOVERA","tipo":"Centro público"
"codigo":"AGA304","denominacion":"Técnico Superior en Ganadería y Asistencia en Sanidad Animal","grado":"SUPERIOR "-n-"codigo":"MONTEARAGÓN","tipo":"Centro público"
"codigo":"ARG202","denominacion":"Impresión Gráfica","grado":"MEDIO "-n-"codigo":"PILAR LORENGAR","tipo":"Centro público"
"codigo":"ARG203","denominacion":"Preimpresión Digital","grado":"MEDIO "-n-"codigo":"PILAR LORENGAR","tipo":"Centro público"
"codigo":"ARG301","denominacion":"Diseño y edición de publicaciones impresas y multimedia","grado":"SUPERIOR "-n-"codigo":"PILAR LORENGAR","tipo":"Centro público"
"codigo":"COM201","denominacion":"Actividades Comerciales","grado":"MEDIO "-n-"codigo":"OBRA DIOCESANA SANTO DOMINGO DE SILOS","tipo":"Centro privado"
"codigo":"COM201","denominacion":"Actividades Comerciales","grado":"MEDIO "-n-"codigo":"JOSÉ MANUEL BLECUA","tipo":"Centro público"
"codigo":"COM201","denominacion":"Actividades Comerciales","grado":"MEDIO "-n-"codigo":"LOS ENLACES","tipo":"Centro público"
"codigo":"COM201","denominacion":"Actividades Comerciales","grado":"MEDIO "-n-"codigo":"LOS ENLACES","tipo":"Centro público"
"codigo":"COM301","denominacion":"Comercio Internacional","grado":"SUPERIOR "-n-"codigo":"ACADEMIA MARCO","tipo":"Centro privado"
"codigo":"COM301","denominacion":"Comercio Internacional","grado":"SUPERIOR "-n-"codigo":"LOS ENLACES","tipo":"Centro público"
"codigo":"COM301","denominacion":"Comercio Internacional","grado":"SUPERIOR "-n-"codigo":"LOS ENLACES","tipo":"Centro público"
"codigo":"COM302","denominacion":"Gestión de ventas y espacios comerciales","grado":"SUPERIOR "-n-"codigo":"LOS ENLACES","tipo":"Centro público"
"codigo":"COM302","denominacion":"Gestión de ventas y espacios comerciales","grado":"SUPERIOR "-n-"codigo":"LOS ENLACES","tipo":"Centro público"
"codigo":"COM303","denominacion":"Transporte y Logística","grado":"SUPERIOR "-n-"codigo":"SANTA EMERENCIANA","tipo":"Centro público"
"codigo":"COM303","denominacion":"Transporte y Logística","grado":"SUPERIOR "-n-"codigo":"LOS ENLACES","tipo":"Centro público"
"codigo":"COM303","denominacion":"Transporte y Logística","grado":"SUPERIOR "-n-"codigo":"LOS ENLACES","tipo":"Centro público"
"codigo":"COM304","denominacion":"Marketing y publicidad","grado":"SUPERIOR "-n-"codigo":"ACADEMIA MARCO","tipo":"Centro privado"
"codigo":"COM304","denominacion":"Marketing y publicidad","grado":"SUPERIOR "-n-"codigo":"CEFOR IZQUIERDO","tipo":"Centro privado"
"codigo":"COM304","denominacion":"Marketing y publicidad","grado":"SUPERIOR "-n-"codigo":"COLEGIO MONTESSORI","tipo":"Centro privado"
"codigo":"COM304","denominacion":"Marketing y publicidad","grado":"SUPERIOR "-n-"codigo":"COLEGIO MONTESSORI","tipo":"Centro privado"
"codigo":"COM304","denominacion":"Marketing y publicidad","grado":"SUPERIOR "-n-"codigo":"LOS ENLACES","tipo":"Centro público"
"codigo":"ELE202","denominacion":"Instalaciones Eléctricas y Automáticas","grado":"MEDIO "-n-"codigo":"MARTÍNEZ VARGAS","tipo":"Centro público"
"codigo":"ELE202","denominacion":"Instalaciones Eléctricas y Automáticas","grado":"MEDIO "-n-"codigo":"PIRÁMIDE","tipo":"Centro público"
"codigo":"ELE202","denominacion":"Instalaciones Eléctricas y Automáticas","grado":"MEDIO "-n-"codigo":"PIRÁMIDE","tipo":"Centro público"
"codigo":"ELE202","denominacion":"Instalaciones Eléctricas y Automáticas","grado":"MEDIO "-n-"codigo":"SANTO DOMINGO SAVIO","tipo":"Centro privado"
"codigo":"ELE202","denominacion":"Instalaciones Eléctricas y Automáticas","grado":"MEDIO "-n-"codigo":"BIELLO ARAGÓN","tipo":"Centro público"
"codigo":"ELE202","denominacion":"Instalaciones Eléctricas y Automáticas","grado":"MEDIO "-n-"codigo":"BAJO ARAGÓN","tipo":"Centro público"
"codigo":"ELE202","denominacion":"Instalaciones Eléctricas y Automáticas","grado":"MEDIO "-n-"codigo":"PABLO SERRANO","tipo":"Centro público"
"codigo":"ELE202","denominacion":"Instalaciones Eléctricas y Automáticas","grado":"MEDIO "-n-"codigo":"SEGUNDO DE CHOMÓN","tipo":"Centro público"
"codigo":"ELE202","denominacion":"Instalaciones Eléctricas y Automáticas","grado":"MEDIO "-n-"codigo":"SEGUNDO DE CHOMÓN","tipo":"Centro público"
"codigo":"ELE202","denominacion":"Instalaciones Eléctricas y Automáticas","grado":"MEDIO "-n-"codigo":"SALESIANOS LAVIAGA-CASTILLO","tipo":"Centro privado"
"codigo":"ELE202","denominacion":"Instalaciones Eléctricas y Automáticas","grado":"MEDIO "-n-"codigo":"EMILIO JIMENO","tipo":"Centro público"
"codigo":"ELE202","denominacion":"Instalaciones Eléctricas y Automáticas","grado":"MEDIO "-n-"codigo":"BENJAMÍN JARNÉS","tipo":"Centro público"
"codigo":"ELE202","denominacion":"Instalaciones Eléctricas y Automáticas","grado":"MEDIO "-n-"codigo":"SIGLO XXI","tipo":"Centro público"
"codigo":"ELE202","denominacion":"Instalaciones Eléctricas y Automáticas","grado":"MEDIO "-n-"codigo":"ACADEMIA MARCO","tipo":"Centro privado"
"codigo":"ELE202","denominacion":"Instalaciones Eléctricas y Automáticas","grado":"MEDIO "-n-"codigo":"CONDES DE ARAGÓN","tipo":"Centro privado"
"codigo":"ELE202","denominacion":"Instalaciones Eléctricas y Automáticas","grado":"MEDIO "-n-"codigo":"OBRA DIOCESANA SANTO DOMINGO DE SILOS","tipo":"Centro privado"
"codigo":"ELE202","denominacion":"Instalaciones Eléctricas y Automáticas","grado":"MEDIO "-n-"codigo":"SALESIANO NTRA. SRA.DEL PILAR","tipo":"Centro privado"
"codigo":"ELE202","denominacion":"Instalaciones Eléctricas y Automáticas","grado":"MEDIO "-n-"codigo":"LA SALLE-SANTO ANGEL","tipo":"Centro privado"
"codigo":"ELE202","denominacion":"Instalaciones Eléctricas y Automáticas","grado":"MEDIO "-n-"codigo":"CORONA DE ARAGÓN","tipo":"Centro público"
"codigo":"ELE202","denominacion":"Instalaciones Eléctricas y Automáticas","grado":"MEDIO "-n-"codigo":"CORONA DE ARAGÓN","tipo":"Centro público"
"codigo":"ELE202","denominacion":"Instalaciones Eléctricas y Automáticas","grado":"MEDIO "-n-"codigo":"JOSÉ MANUEL BLECUA","tipo":"Centro público"
"codigo":"ELE202","denominacion":"Instalaciones Eléctricas y Automáticas","grado":"MEDIO "-n-"codigo":"RÍO GÁLLEGO","tipo":"Centro público"
"codigo":"ELE202","denominacion":"Instalaciones Eléctricas y Automáticas","grado":"MEDIO "-n-"codigo":"GALLICUM","tipo":"Centro público"
"codigo":"ELE203","denominacion":"Instalaciones de Telecomunicaciones","grado":"MEDIO "-n-"codigo":"MARTÍNEZ VARGAS","tipo":"Centro público"
"codigo":"ELE203","denominacion":"Instalaciones de Telecomunicaciones","grado":"MEDIO "-n-"codigo":"PABLO SERRANO","tipo":"Centro público"
"codigo":"ELE203","denominacion":"Instalaciones de Telecomunicaciones","grado":"MEDIO "-n-"codigo":"SEGUNDO DE CHOMÓN","tipo":"Centro público"
"codigo":"ELE203","denominacion":"Instalaciones de Telecomunicaciones","grado":"MEDIO "-n-"codigo":"PEDRO CERRADA","tipo":"Centro público"
"codigo":"ELE203","denominacion":"Instalaciones de Telecomunicaciones","grado":"MEDIO "-n-"codigo":"SAN VALERO","tipo":"Centro privado"
"codigo":"ELE203","denominacion":"Instalaciones de Telecomunicaciones","grado":"MEDIO "-n-"codigo":"ACADEMIA MARCO","tipo":"Centro privado"
"codigo":"ELE203","denominacion":"Instalaciones de Telecomunicaciones","grado":"MEDIO "-n-"codigo":"OBRA DIOCESANA SANTO DOMINGO DE SILOS","tipo":"Centro privado"
"codigo":"ELE203","denominacion":"Instalaciones de Telecomunicaciones","grado":"MEDIO "-n-"codigo":"SALESIANO NTRA. SRA.DEL PILAR","tipo":"Centro privado"
"codigo":"ELE203","denominacion":"Instalaciones de Telecomunicaciones","grado":"MEDIO "-n-"codigo":"ANDALÁN","tipo":"Centro público"
"codigo":"ELE203","denominacion":"Instalaciones de Telecomunicaciones","grado":"MEDIO "-n-"codigo":"MIRALBUENO","tipo":"Centro público"
"codigo":"ELE203","denominacion":"Instalaciones de Telecomunicaciones","grado":"MEDIO "-n-"codigo":"TIEMPOS MODERNOS","tipo":"Centro público"
"codigo":"ELE301","denominacion":"Mantenimiento Electrónico","grado":"SUPERIOR "-n-"codigo":"PABLO SERRANO","tipo":"Centro público"
"codigo":"ELE301","denominacion":"Mantenimiento Electrónico","grado":"SUPERIOR "-n-"codigo":"PEDRO CERRADA","tipo":"Centro público"
"codigo":"ELE301","denominacion":"Mantenimiento Electrónico","grado":"SUPERIOR "-n-"codigo":"SAN VALERO","tipo":"Centro privado"
"codigo":"ELE302","denominacion":"Sistemas Electrotécnicos y Automatizados","grado":"SUPERIOR "-n-"codigo":"MARTÍNEZ VARGAS","tipo":"Centro público"
"codigo":"ELE302","denominacion":"Sistemas Electrotécnicos y Automatizados","grado":"SUPERIOR "-n-"codigo":"BAJO ARAGÓN","tipo":"Centro público"
"codigo":"ELE302","denominacion":"Sistemas Electrotécnicos y Automatizados","grado":"SUPERIOR "-n-"codigo":"SALESIANO NTRA. SRA.DEL PILAR","tipo":"Centro privado"
"codigo":"ELE302","denominacion":"Sistemas Electrotécnicos y Automatizados","grado":"SUPERIOR "-n-"codigo":"CORONA DE ARAGÓN","tipo":"Centro público"
"codigo":"ELE302","denominacion":"Sistemas Electrotécnicos y Automatizados","grado":"SUPERIOR "-n-"codigo":"GALLICUM","tipo":"Centro público"
"codigo":"ELE303","denominacion":"Automatización y Robótica Industrial","grado":"SUPERIOR "-n-"codigo":"SANTO DOMINGO SAVIO","tipo":"Centro privado"
"codigo":"ELE303","denominacion":"Automatización y Robótica Industrial","grado":"SUPERIOR "-n-"codigo":"BIELLO ARAGÓN","tipo":"Centro público"
"codigo":"ELE303","denominacion":"Automatización y Robótica Industrial","grado":"SUPERIOR "-n-"codigo":"PABLO SERRANO","tipo":"Centro público"
"codigo":"ELE303","denominacion":"Automatización y Robótica Industrial","grado":"SUPERIOR "-n-"codigo":"SEGUNDO DE CHOMÓN","tipo":"Centro público"
"codigo":"ELE303","denominacion":"Automatización y Robótica Industrial","grado":"SUPERIOR "-n-"codigo":"SALESIANO NTRA. SRA.DEL PILAR","tipo":"Centro privado"
"codigo":"ELE303","denominacion":"Automatización y Robótica Industrial","grado":"SUPERIOR "-n-"codigo":"LA SALLE-SANTO ANGEL","tipo":"Centro privado"
"codigo":"ELE303","denominacion":"Automatización y Robótica Industrial","grado":"SUPERIOR "-n-"codigo":"VIRGEN DEL PILAR","tipo":"Centro público"
"codigo":"ELE303","denominacion":"Automatización y Robótica Industrial","grado":"SUPERIOR "-n-"codigo":"GALLICUM","tipo":"Centro público"
"codigo":"ELE304","denominacion":"Sistemas de Telecomunicaciones e Informáticos","grado":"SUPERIOR "-n-"codigo":"PIRÁMIDE","tipo":"Centro público"
"codigo":"ELE304","denominacion":"Sistemas de Telecomunicaciones e Informáticos","grado":"SUPERIOR "-n-"codigo":"SALESIANO NTRA. SRA.DEL PILAR","tipo":"Centro privado"
"codigo":"ELE304","denominacion":"Sistemas de Telecomunicaciones e Informáticos","grado":"SUPERIOR "-n-"codigo":"ANDALÁN","tipo":"Centro público"
"codigo":"ELE304","denominacion":"Sistemas de Telecomunicaciones e Informáticos","grado":"SUPERIOR "-n-"codigo":"RÍO GÁLLEGO","tipo":"Centro público"
"codigo":"ELE304","denominacion":"Sistemas de Telecomunicaciones e Informáticos","grado":"SUPERIOR "-n-"codigo":"TIEMPOS MODERNOS","tipo":"Centro público"
"codigo":"ENA301","denominacion":"Eficiencia Energética y Energía Solar Térmica","grado":"SUPERIOR "-n-"codigo":"PIRÁMIDE","tipo":"Centro público"
"codigo":"ENA301","denominacion":"Eficiencia Energética y Energía Solar Térmica","grado":"SUPERIOR "-n-"codigo":"VIRGEN DEL PILAR","tipo":"Centro público"
