Cód. RCD Centro;Denom. Genérica Centro;Centro;Teléfono;Email;Municipio;Materia;;;;;;;;;;;;;;;;;;;;
;Instituto de Enseñanza Secundaria;BAJO CINCA;;;Fraga;Lengua Catalana;;;;;;;;;;;;;;;;;;;;
;Instituto de Enseñanza Secundaria;BALTASAR GRACIÁN;;;Graus (No de habla cat.);Lengua Catalana;;;Aula de Benabarre (a efectos de porcentaje, se considera que el alumnado que recibe clase en Benabarre es el 100% del instituto) Graus no es una localidad de habla catalana.;;;;;;;;;;;;;;;;;
;Instituto de Enseñanza Secundaria;LA LLITERA;;;Tamarite de Litera;Lengua Catalana;;;;;;;;;;;;;;;;;;;;
;Instituto de Enseñanza Secundaria;RAMÓN J. SENDER;;;Fraga;Lengua Catalana;;;;;;;;;;;;;;;;;;;;
;Escuela Oficial de Idiomas;IGNACIO LUZÁN;;;Monzón;Lengua Catalana;;;;;;;;;;;;;;;;;;;;
;Extensión de Escuela Oficial de Idiomas;EXTENSIÓN DE EOI IGNACIO LUZÁN;;;Fraga;Lengua Catalana;;;;;;;;;;;;;;;;;;;;
44003715;Colegio de Educación Infantil y Primaria;VICENTE FERRER RAMOS;978 85 06 55;cpvfvalderrobres@educa.aragon.es;Valderrobres;Lengua Catalana;;;;;;;;;;;;;;;;;;;;
44004732;Colegio Rural Agrupado;OLEA;978 88 74 15;cracastellote@educa.aragon.es;Castellote (No es de habla catalana);Lengua Catalana;;;Solo en Aguaviva, Bordón y La Ginebrosa;;;;;;;;;;;;;;;;;
44004744;Colegio Rural Agrupado;ALIFARA;978 85 45 53;craalifara@educa.aragon.es;Fresneda (La);Lengua Catalana;;;;;;;;;;;;;;;;;;;;
44004756;Colegio Rural Agrupado;TASTAVINS;978 89 67 96;crapenarroya@educa.aragon.es;Peñarroya de Tastavins;Lengua Catalana;;;;;;;;;;;;;;;;;;;;
44005062;Colegio Rural Agrupado;MATARRANYA;978 85 13 39;cracalaceit@educa.aragon.es;Calaceite;Lengua Catalana;;;;;;;;;;;;;;;;;;;;
44005131;Colegio Rural Agrupado;ALGARS;978 89 04 73;cracretas@educa.aragon.es;Cretas;Lengua Catalana;;;;;;;;;;;;;;;;;;;;
;Instituto de Enseñanza Secundaria;MATARRAÑA;;;Valderrobres;Lengua Catalana;;;;;;;;;;;;;;;;;;;;
;Escuela Oficial de Idiomas;DE ALCAÑIZ;;;;;;;;;;;;;;;;;;;;;;;;
50002123;Colegio de Educación Infantil y Primaria;NTRA. SRA. DEL PILAR;976 63 56 92;cpfayon@educa.aragon.es;Fayón;Lengua Catalana;;;;;;;;;;;;;;;;;;;;
50002810;Colegio de Educación Infantil y Primaria;VIRGEN DEL PORTAL;976 63 80 65;cpmaella@educa.aragon.es;Maella;Lengua Catalana;;;;;;;;;;;;;;;;;;;;
50003048;Colegio de Educación Infantil y Primaria;MARÍA QUINTANA;974 46 42 70;cpmequinenza@educa.aragon.es;Mequinenza;Lengua Catalana;;;;;;;;;;;;;;;;;;;;
50011343;Colegio Rural Agrupado;FABARA-NONASPE DOS AGUAS;976 63 50 44;crafabara@educa.aragon.es;Fabara;Lengua Catalana;;;;;;;;;;;;;;;;;;;;
;Instituto de Enseñanza Secundaria;BAIX MATARRANYA;;;Maella;Lengua Catalana;;;;;;;;;;;;;;;;;;;;
;Escuela Oficial de Idiomas;FERNANDO LÁZARO CARRETER;;;Zaragoza;Lengua Catalana;;;;;;;;;;;;;;;;;;;;
